id,product_id,product_code,product_name,nav_date,initial_nav,accumulated_nav,current_nav,is_updated,last_update_date,crawl_time,created_at,updated_at
30,1000046632,Z7001025000514,中银理财-惠享天天37号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.651298,2025-05-16 18:10:05.651301
32,1000046634,Z7001025000516,中银理财-惠享天天42号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.652777,2025-05-16 18:10:05.652780
43,1000046636,Z7001025000518,中银理财-惠享天天31号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.661639,2025-05-16 18:10:05.661642
29,1000046639,Z7001025000521,中银理财-惠享天天43号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.650559,2025-05-16 18:10:05.650562
27,1000046641,Z7001025000523,中银理财-乐享天天32号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.648529,2025-05-16 18:10:05.648533
28,1000046642,Z7001025000524,中银理财-乐享天天36号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.649795,2025-05-16 18:10:05.649798
13,1000048525,Z7001025000605,中银理财-怡享天天85号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.637000,2025-05-16 18:10:05.637003
31,1000045038,Z7001125000214,农银理财“农银时时付”32号开放式人民币理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.652040,2025-05-16 18:10:05.652043
134,1000026716,Z7001424001155,阳光碧乐活114号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.731801,2025-05-16 18:10:05.731803
140,1000034882,Z7001425000097,阳光碧乐活122号,2025-05-16,1.0,1.00205,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.736467,2025-05-16 18:10:05.736470
129,1000035015,Z7001425000134,阳光碧乐活129号,2025-05-16,1.0,1.0026,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.727663,2025-05-16 18:10:05.727665
133,1000037629,Z7001425000308,阳光碧乐活133号,2025-05-16,1.0,1.00012,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.730897,2025-05-16 18:10:05.730900
70,1000042966,Z7001425000541,阳光碧乐活138号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.682488,2025-05-16 18:10:05.682491
69,1000042967,Z7001425000542,阳光碧乐活142号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.681409,2025-05-16 18:10:05.681412
68,1000042969,Z7001425000544,阳光碧乐活141号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.680369,2025-05-16 18:10:05.680373
67,1000043131,Z7001425000551,阳光碧乐活144号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.679495,2025-05-16 18:10:05.679498
66,1000043132,Z7001425000552,阳光碧乐活148号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.678794,2025-05-16 18:10:05.678796
65,1000043134,Z7001425000554,阳光碧乐活147号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.678096,2025-05-16 18:10:05.678098
64,1000043139,Z7001425000559,阳光碧乐活145号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.677398,2025-05-16 18:10:05.677400
50,1000043140,Z7001425000560,阳光碧乐活149号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.667282,2025-05-16 18:10:05.667285
62,1000043145,Z7001425000563,阳光碧乐活160号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.675870,2025-05-16 18:10:05.675872
79,1000043149,Z7001425000567,阳光碧乐活176号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.688970,2025-05-16 18:10:05.688973
78,1000043150,Z7001425000568,阳光碧乐活180号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.688213,2025-05-16 18:10:05.688216
61,1000043156,Z7001425000574,阳光碧乐活169号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.675172,2025-05-16 18:10:05.675175
77,1000043158,Z7001425000576,阳光碧乐活177号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.687449,2025-05-16 18:10:05.687452
73,1000043160,Z7001425000578,阳光碧乐活155号,2025-05-16,1.0,1.0018,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.684610,2025-05-16 18:10:05.684612
60,1000043162,Z7001425000580,阳光碧乐活159号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.674473,2025-05-16 18:10:05.674475
59,1000043164,Z7001425000582,阳光碧乐活163号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.673768,2025-05-16 18:10:05.673770
47,1000043165,Z7001425000583,阳光碧乐活170号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.665159,2025-05-16 18:10:05.665162
76,1000043169,Z7001425000587,阳光碧乐活178号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.686701,2025-05-16 18:10:05.686704
45,1000046217,Z7001425000655,阳光碧乐活181号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.663145,2025-05-16 18:10:05.663147
132,1000024935,Z7001624001122,招银理财招赢日日金73号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.729757,2025-05-16 18:10:05.729760
111,1000026585,Z7001624001172,招银理财招赢日日金75号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.714618,2025-05-16 18:10:05.714620
42,1000039787,Z7001625000226,招银理财招睿美元天添金360天持有期1号固定收益类理财计划,2025-05-16,1.0,1.0012,1.0012,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.660918,2025-05-16 18:10:05.660920
