id,product_id,product_code,product_name,issuer,issuer_code,risk_level,risk_level_code,product_type,product_type_code,currency,investment_period,min_investment,sale_status,sale_regions,start_date,end_date,product_category,income_type,sale_method,crawl_time,created_at,updated_at
267,1000051353,C1088025000034,麒麟赢佳-祥瑞舒心第511期,石嘴山银行股份有限公司,C10880,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,宁夏回族自治区,2025/05/22,2026/05/22,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.384226,2025-05-16 18:43:20.351332
303,1000049265,C1088125000027,鸿运财富2025年15号,齐鲁银行股份有限公司,C10881,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"山东省,天津市",2025/05/20,2026/06/24,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.409207,2025-05-16 18:43:20.376590
174,1000035653,C1088325000006,金达创富理财SD7833号,齐商银行股份有限公司,C10883,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"山东省,陕西省",2025/05/21,2026/02/26,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.318178,2025-05-16 18:43:20.285962
278,1000049536,C1088525000029,益友融通-2025年安益个人金满盈029号理财产品,河北银行股份有限公司,C10885,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"天津市,河北省,山东省",2025/05/22,2025/11/27,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.391536,2025-05-16 18:43:20.359543
316,1000042603,C1088725000019,秦皇岛银行新富满家2025-024期人民币理财产品,秦皇岛银行股份有限公司,C10887,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,河北省,2025/05/20,2025/12/01,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.418398,2025-05-16 18:43:20.385466
142,1000043416,C1090225000019,临商银行惠盈封闭净值理财产品6月期第2514号,临商银行股份有限公司,C10902,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"宁波市,山东省",2025/05/22,2025/11/21,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.295777,2025-05-16 18:43:20.264095
257,1000043418,C1090225000021,临商银行惠盈封闭净值理财产品1年期第2514号,临商银行股份有限公司,C10902,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"宁波市,山东省",2025/05/22,2026/05/21,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.377103,2025-05-16 18:43:20.343970
203,1000029760,C1090425000012,丰盈封闭式理财产品25022期,晋商银行股份有限公司,C10904,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,山西省,2025/05/22,2026/12/03,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.338910,2025-05-16 18:43:20.305666
436,1000029761,C1090425000013,丰盈封闭式理财产品25026期,晋商银行股份有限公司,C10904,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,山西省,2025/05/20,2026/05/21,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.502977,2025-05-16 18:43:20.471957
353,1000050902,C1091125000039,西安银行金丝路聚利盈系列封闭式净值型理财产品2025年第40期,西安银行股份有限公司,C10911,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,陕西省,2025/05/22,2025/08/28,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.444010,2025-05-16 18:43:20.411368
105,1000050905,C1091125000042,西安银行金丝路聚利盈系列封闭式净值型理财产品2025年第42期(代发专属),西安银行股份有限公司,C10911,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,陕西省,2025/05/23,2026/05/22,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.270004,2025-05-16 18:43:20.237897
104,1000050907,C1091125000044,西安银行金丝路聚利盈系列封闭式净值型理财产品2025年第41期,西安银行股份有限公司,C10911,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,陕西省,2025/05/23,2025/12/04,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.269328,2025-05-16 18:43:20.237138
340,1000052036,C1091325000036,金雪莲系列封闭式净值型理财产品2025年第29期麦满财丰专享,乌鲁木齐银行股份有限公司,C10913,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,新疆维吾尔自治区,2025/05/22,2026/01/06,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.435152,2025-05-16 18:43:20.402149
339,1000052041,C1091325000041,金雪莲系列稳健增长净值型理财产品2025年第13期,乌鲁木齐银行股份有限公司,C10913,二级(中低),02,固定收益类,01,人民币(CNY),1-3个月(含),10000,05,新疆维吾尔自治区,2025/05/22,2025/08/22,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.434472,2025-05-16 18:43:20.401436
221,1000052042,C1091325000042,金雪莲系列封闭式净值型理财产品2025年第30期玖久相伴六期,乌鲁木齐银行股份有限公司,C10913,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,新疆维吾尔自治区,2025/05/22,2025/09/05,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.352013,2025-05-16 18:43:20.317997
100,1000052045,C1091325000045,金雪莲系列封闭式净值型理财产品2025年第28期代发工资客户专享,乌鲁木齐银行股份有限公司,C10913,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,新疆维吾尔自治区,2025/05/22,2025/11/21,01,03,01,2025-05-16 18:42:45,2025-05-16 15:56:39.127082,2025-05-16 18:43:20.234288
199,1000038760,C1091725000024,“富聚财富”鑫益系列人民币理财计划2524期,富滇银行股份有限公司,C10917,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"云南省,重庆市",2025/05/21,2026/05/21,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.336069,2025-05-16 18:43:20.302967
319,1000038763,C1091725000026,“富聚财富”鑫益系列人民币理财计划2518期,富滇银行股份有限公司,C10917,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"云南省,重庆市",2025/05/21,2026/07/23,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.420401,2025-05-16 18:43:20.387751
2,1798373,C1091918000365,云南红塔银行“红塔财富”筑梦系列天天复盈开放式净值型人民币理财产品,云南红塔银行股份有限公司,C10919,一级(低),01,N/A,NA,人民币(CNY),每日,10000,09,全国,2018/12/12,2099/12/31,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.045052,2025-05-16 18:43:20.151377
300,1000024676,C1092225000012,“金鹿理财-普惠季享”25010号（共同富裕特别款）银行理财计划,温州银行股份有限公司,C10922,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"浙江省,上海市",2025/05/21,2025/09/17,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.407212,2025-05-16 18:43:20.374524
435,1000031455,C1092425000037,百合花定期理财3月型25018期,湖州银行股份有限公司,C10924,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,大连市,宁波市,厦门市,青岛市,深圳市,香港,澳门,台湾",2025/05/21,2025/08/28,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.502298,2025-05-16 18:43:20.471293
434,1000031470,C1092425000047,百合花定期理财6月型25018期,湖州银行股份有限公司,C10924,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,大连市,宁波市,厦门市,青岛市,深圳市,香港,澳门,台湾",2025/05/21,2025/12/04,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.501614,2025-05-16 18:43:20.470627
323,1000031490,C1092425000052,百合花定期理财1年型25018期,湖州银行股份有限公司,C10924,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,大连市,宁波市,厦门市,青岛市,深圳市,香港,澳门,台湾",2025/05/21,2026/05/28,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.423106,2025-05-16 18:43:20.390493
384,1000049849,C1092525000055,金兰花汇富1号2518期,绍兴银行股份有限公司,C10925,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,浙江省,2025/05/21,2026/06/03,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.466161,2025-05-16 18:43:20.433838
277,1000049855,C1092525000061,金兰花汇富3号2518期,绍兴银行股份有限公司,C10925,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,浙江省,2025/05/21,2025/12/03,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.390871,2025-05-16 18:43:20.358864
276,1000049865,C1092525000071,金兰花汇富4号2518期,绍兴银行股份有限公司,C10925,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,浙江省,2025/05/21,2025/09/03,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.390204,2025-05-16 18:43:20.358187
304,1000049109,C1092625000010,旺息宝2号2512期封闭式净值型理财产品,金华银行股份有限公司,C10926,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,浙江省,2025/05/20,2026/05/21,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.409872,2025-05-16 18:43:20.377263
140,1000044224,C1092725000140,稠州银行净值型财坤理财产品CK250161,浙江稠州商业银行股份有限公司,C10927,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"上海市,江苏省,浙江省,福建省,宁波市,江西省,广东省,云南省,四川省,重庆市",2025/05/19,2026/06/08,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.294419,2025-05-16 18:43:20.262709
139,1000044228,C1092725000144,稠州银行净值型财坤理财产品CK250122,浙江稠州商业银行股份有限公司,C10927,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"上海市,江苏省,浙江省,福建省,宁波市,江西省,广东省,云南省,四川省,重庆市",2025/05/19,2025/08/21,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.293741,2025-05-16 18:43:20.262021
256,1000044233,C1092725000149,稠州银行净值型财坤理财产品CK250142,浙江稠州商业银行股份有限公司,C10927,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"上海市,江苏省,浙江省,福建省,宁波市,江西省,广东省,云南省,四川省,重庆市",2025/05/19,2025/11/20,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.376437,2025-05-16 18:43:20.343276
9,1733623,C1092918000191,天添向上2号,浙江泰隆商业银行股份有限公司,C10929,二级(中低),02,N/A,NA,人民币(CNY),每日,50000,09,"上海市,江苏省,浙江省",2018/08/30,2050/12/30,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.051459,2025-05-16 18:43:20.158020
5,1733832,C1092918000192,人生盈家35天型,浙江泰隆商业银行股份有限公司,C10929,二级(中低),02,N/A,NA,人民币(CNY),每日,50000,09,"上海市,江苏省,浙江省",2018/08/30,2099/12/31,03,03,02,2025-05-16 18:42:45,2025-05-16 15:56:39.047813,2025-05-16 18:43:20.154239
171,1000041180,C1093025000014,益民理财·“融合”理财计划178号,浙江民泰商业银行股份有限公司,C10930,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"上海市,浙江省,四川省",2025/05/21,2026/05/27,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.316082,2025-05-16 18:43:20.283970
362,1000048165,C1093125000011,长江聚惠公募净值型点金产品2025年第4期,重庆银行股份有限公司,C10931,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"重庆市,四川省,贵州省,陕西省",2025/05/23,2028/05/23,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.450644,2025-05-16 18:43:20.417496
309,1000048757,C1093225000138,财富快车2025年第136期,重庆三峡银行股份有限公司,C10932,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,重庆市,2025/05/20,2025/11/19,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.413200,2025-05-16 18:43:20.380698
415,1000048758,C1093225000139,财富快车2025年第137期,重庆三峡银行股份有限公司,C10932,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,重庆市,2025/05/20,2026/05/20,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.487970,2025-05-16 18:43:20.457103
414,1000048768,C1093225000149,财富快车2025年第135期,重庆三峡银行股份有限公司,C10932,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,重庆市,2025/05/20,2025/08/27,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.487291,2025-05-16 18:43:20.456383
308,1000048769,C1093225000150,财富快车2025年第138期,重庆三峡银行股份有限公司,C10932,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,重庆市,2025/05/20,2026/05/20,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.412533,2025-05-16 18:43:20.380024
